Tweet,Etiket,Alt Etiket,CONTEXT_INPUT
bakanımız ve diğer devlet büyüklerimiz fetö yapılanmasının bir ingiliz saldırısı olduğunu açık yüreklilikle ve tüm gerçekliğiyle halkımıza açıklamalıdır milletimiz tehlikenin nereden geldiğini açıkça görmelidir.,1,etnik,dedeleriniz aynı mıydı gıı!... macron'un önünde pis kokulu çoraplarını çıkarmadığı kalan boris'i sen adam mı sandın. bak hemen demokrasiyi askıya aldılar... o ayak öyle uzanmayacaktı geleneksel ingiliz zarafeti nerede! [SEP] bakanımız ve diğer devlet büyüklerimiz fetö yapılanmasının bir ingiliz saldırısı olduğunu açık yüreklilikle ve tüm gerçekliğiyle halkımıza açıklamalıdır milletimiz tehlikenin nereden geldiğini açıkça görmelidir.
boris johnson'a bir ingilizin lütfen kasabadan ayrıl çıkışı viral oldu,2,,bakanımız ve diğer devlet büyüklerimiz fetö yapılanmasının bir ingiliz saldırısı olduğunu açık yüreklilikle ve tüm gerçekliğiyle halkımıza açıklamalıdır milletimiz tehlikenin nereden geldiğini açıkça görmelidir. [SEP] boris johnson'a bir ingilizin lütfen kasabadan ayrıl çıkışı viral oldu
yeni mağdurlar yaratılıyor ki abd'nin rotası belli... aklımda bugünkü mağdure ile ilgili seçimlerde kürtçülük yaptığıdır. kürtçülük abd mandacılığı ingiliz emperyalizmine hizmettir.,1,etnik,boris johnson'a bir ingilizin lütfen kasabadan ayrıl çıkışı viral oldu [SEP] yeni mağdurlar yaratılıyor ki abd'nin rotası belli... aklımda bugünkü mağdure ile ilgili seçimlerde kürtçülük yaptığıdır. kürtçülük abd mandacılığı ingiliz emperyalizmine hizmettir.
bugün canan kaftancıoğlu cezası açıklanınca boris johnson ve yoldan geçen ingiliz vatandaş yeniden aklıma geldi. bizim ülkemizdeyse bırak sıradan vatandaşı muhalefet partisinin istanbul ilk başkanı bile güvende değil.,2,,yeni mağdurlar yaratılıyor ki abd'nin rotası belli... aklımda bugünkü mağdure ile ilgili seçimlerde kürtçülük yaptığıdır. kürtçülük abd mandacılığı ingiliz emperyalizmine hizmettir. [SEP] bugün canan kaftancıoğlu cezası açıklanınca boris johnson ve yoldan geçen ingiliz vatandaş yeniden aklıma geldi. bizim ülkemizdeyse bırak sıradan vatandaşı muhalefet partisinin istanbul ilk başkanı bile güvende değil.
the crown ve peaky blinders'ı peşpeşe izleyip ingiliz çayı içiyorum. tanrı kraliçeyi korusun afgfgf,2,,bugün canan kaftancıoğlu cezası açıklanınca boris johnson ve yoldan geçen ingiliz vatandaş yeniden aklıma geldi. bizim ülkemizdeyse bırak sıradan vatandaşı muhalefet partisinin istanbul ilk başkanı bile güvende değil. [SEP] the crown ve peaky blinders'ı peşpeşe izleyip ingiliz çayı içiyorum. tanrı kraliçeyi korusun afgfgf
"heh şimdi de ""kürt kökenli"" söylemine takılanlar geldi. yahu şaka mısınız. dünyanın her yerinde tabir budur! türkiye'de yaşayan insanlara türk denir. kürt kardeş türkiye'de doğup büyümüş ise kürt kökenli türk denir. italyan asıllı amerikalı irlanda asıllı ingiliz türk asıllı alman gibi",2,,"the crown ve peaky blinders'ı peşpeşe izleyip ingiliz çayı içiyorum. tanrı kraliçeyi korusun afgfgf [SEP] heh şimdi de ""kürt kökenli"" söylemine takılanlar geldi. yahu şaka mısınız. dünyanın her yerinde tabir budur! türkiye'de yaşayan insanlara türk denir. kürt kardeş türkiye'de doğup büyümüş ise kürt kökenli türk denir. italyan asıllı amerikalı irlanda asıllı ingiliz türk asıllı alman gibi"
taliban'a karşı savaşta abd'nin varisi ingiliz kraliyet askeri akademisi mezunu oğul şah mesud,2,,"heh şimdi de ""kürt kökenli"" söylemine takılanlar geldi. yahu şaka mısınız. dünyanın her yerinde tabir budur! türkiye'de yaşayan insanlara türk denir. kürt kardeş türkiye'de doğup büyümüş ise kürt kökenli türk denir. italyan asıllı amerikalı irlanda asıllı ingiliz türk asıllı alman gibi [SEP] taliban'a karşı savaşta abd'nin varisi ingiliz kraliyet askeri akademisi mezunu oğul şah mesud"
israil dinci emperyalist sermaye kuklası devletinin çaresiz insanları şamar oğlanına döndürdüğü dünya sessiz. yazıklar olsun sizin gelişmişliğinize hadi diyelim fistanlı araplar abd ingiliz emrinde embesiller halkları da mı böyle aşağılık yani?,1,etnik,taliban'a karşı savaşta abd'nin varisi ingiliz kraliyet askeri akademisi mezunu oğul şah mesud [SEP] israil dinci emperyalist sermaye kuklası devletinin çaresiz insanları şamar oğlanına döndürdüğü dünya sessiz. yazıklar olsun sizin gelişmişliğinize hadi diyelim fistanlı araplar abd ingiliz emrinde embesiller halkları da mı böyle aşağılık yani?
ingiliz pasif agresifliği climax,2,,israil dinci emperyalist sermaye kuklası devletinin çaresiz insanları şamar oğlanına döndürdüğü dünya sessiz. yazıklar olsun sizin gelişmişliğinize hadi diyelim fistanlı araplar abd ingiliz emrinde embesiller halkları da mı böyle aşağılık yani? [SEP] ingiliz pasif agresifliği climax
ingiliz otomotiv sektöründen brexit ertelensin çağrısı,2,,ingiliz pasif agresifliği climax [SEP] ingiliz otomotiv sektöründen brexit ertelensin çağrısı
bir ingiliz beni takibe aldı,2,,ingiliz otomotiv sektöründen brexit ertelensin çağrısı [SEP] bir ingiliz beni takibe aldı
"emekli ingiliz bir siyasetçiyle yapılan bir program izlemiştim de adam ""bir siyasetçiye oy vermeden önce sorulacak ilk soru memnun kalmazsak senden nasıl kurtulabiliriz. olmalı."" demişti. aklıma geldi öyle.",2,,"bir ingiliz beni takibe aldı [SEP] emekli ingiliz bir siyasetçiyle yapılan bir program izlemiştim de adam ""bir siyasetçiye oy vermeden önce sorulacak ilk soru memnun kalmazsak senden nasıl kurtulabiliriz. olmalı."" demişti. aklıma geldi öyle."
ingiliz futbolcu angus macdonald kansere yakalandı #futbolcu #kanser,2,,"emekli ingiliz bir siyasetçiyle yapılan bir program izlemiştim de adam ""bir siyasetçiye oy vermeden önce sorulacak ilk soru memnun kalmazsak senden nasıl kurtulabiliriz. olmalı."" demişti. aklıma geldi öyle. [SEP] ingiliz futbolcu angus macdonald kansere yakalandı #futbolcu #kanser"
ırkçı faşist celladına aşık... bazı insan çeşitleri. ne oluyor da arapça kürtçe ve başka dilde yazılan tabelalara dil uzatır vatan millet... burası türkiye... der. hade ya! neden ingiliz fransız ve başka batı dilinde yazılan tabelalara karışmaz söz etmezsin aklı satılık!...,0,,ingiliz futbolcu angus macdonald kansere yakalandı #futbolcu #kanser [SEP] ırkçı faşist celladına aşık... bazı insan çeşitleri. ne oluyor da arapça kürtçe ve başka dilde yazılan tabelalara dil uzatır vatan millet... burası türkiye... der. hade ya! neden ingiliz fransız ve başka batı dilinde yazılan tabelalara karışmaz söz etmezsin aklı satılık!...
ingiltere başbakanı leeds kentinin sokaklarında verdiği bir röportaj sırasında bir ingiliz vatandaş tarafından eleştiri yağmuruna tutuluyor ve yöneticilerden hesap sorabilme bilinci ile yetişen her iki taraf tartışmanın sonunda evlerine dağılıyor.,2,,ırkçı faşist celladına aşık... bazı insan çeşitleri. ne oluyor da arapça kürtçe ve başka dilde yazılan tabelalara dil uzatır vatan millet... burası türkiye... der. hade ya! neden ingiliz fransız ve başka batı dilinde yazılan tabelalara karışmaz söz etmezsin aklı satılık!... [SEP] ingiltere başbakanı leeds kentinin sokaklarında verdiği bir röportaj sırasında bir ingiliz vatandaş tarafından eleştiri yağmuruna tutuluyor ve yöneticilerden hesap sorabilme bilinci ile yetişen her iki taraf tartışmanın sonunda evlerine dağılıyor.
çünkü oradakiler kürt. onlara öyle yaparız zaten değil mi? zavallı adam. gözümüzün önünde peynir ekmek gibi yedi onurunu şerefini.,2,,ingiltere başbakanı leeds kentinin sokaklarında verdiği bir röportaj sırasında bir ingiliz vatandaş tarafından eleştiri yağmuruna tutuluyor ve yöneticilerden hesap sorabilme bilinci ile yetişen her iki taraf tartışmanın sonunda evlerine dağılıyor. [SEP] çünkü oradakiler kürt. onlara öyle yaparız zaten değil mi? zavallı adam. gözümüzün önünde peynir ekmek gibi yedi onurunu şerefini.
bugün düşen bir kürdün elinden ilk tutanın bir türk olması büyük önem taşıyor. türk kürt kardeşliğini asla engelleyemeyeceksiniz. tarihi günler yaşıyoruz. #analardireniyor,2,,çünkü oradakiler kürt. onlara öyle yaparız zaten değil mi? zavallı adam. gözümüzün önünde peynir ekmek gibi yedi onurunu şerefini. [SEP] bugün düşen bir kürdün elinden ilk tutanın bir türk olması büyük önem taşıyor. türk kürt kardeşliğini asla engelleyemeyeceksiniz. tarihi günler yaşıyoruz. #analardireniyor
"ekrem imamoğlu ""hdp diyarbakır il başkanlığı önünde feryat feryat oğlunu tekrar isteyen annelerin yanındayım."" kürt anaların terör örgütünden evladını kurtarmak için çırpınmalarına destek vermek feryatlarının yanında olmak çok önemli! kutlarız...",2,,"bugün düşen bir kürdün elinden ilk tutanın bir türk olması büyük önem taşıyor. türk kürt kardeşliğini asla engelleyemeyeceksiniz. tarihi günler yaşıyoruz. #analardireniyor [SEP] ekrem imamoğlu ""hdp diyarbakır il başkanlığı önünde feryat feryat oğlunu tekrar isteyen annelerin yanındayım."" kürt anaların terör örgütünden evladını kurtarmak için çırpınmalarına destek vermek feryatlarının yanında olmak çok önemli! kutlarız..."
onurlu bir kürt genci hdp binası önünde duran akp kuklalarına satılmışlar diyerek bağırdı. bu insanların acıları falan diyerek oynanan oyunu görmeden masumlaştırmak doğru değil. onları anlıyoruzun sonu hdp önünde birikebilecek yüzlerce insana daha davetiye çıkarır,1,siyasi,"ekrem imamoğlu ""hdp diyarbakır il başkanlığı önünde feryat feryat oğlunu tekrar isteyen annelerin yanındayım."" kürt anaların terör örgütünden evladını kurtarmak için çırpınmalarına destek vermek feryatlarının yanında olmak çok önemli! kutlarız... [SEP] onurlu bir kürt genci hdp binası önünde duran akp kuklalarına satılmışlar diyerek bağırdı. bu insanların acıları falan diyerek oynanan oyunu görmeden masumlaştırmak doğru değil. onları anlıyoruzun sonu hdp önünde birikebilecek yüzlerce insana daha davetiye çıkarır"
ne oldu bize ...? inek şaban mesela… neydi acaba mezhebi? alevi miydi belgin doruk sünni miydi ayhan ışık? kürt kökenli miydi yoksa çerkez miydi sadri alışık? şakayla karışık sormuyorum bunları… kaçımız...,2,,onurlu bir kürt genci hdp binası önünde duran akp kuklalarına satılmışlar diyerek bağırdı. bu insanların acıları falan diyerek oynanan oyunu görmeden masumlaştırmak doğru değil. onları anlıyoruzun sonu hdp önünde birikebilecek yüzlerce insana daha davetiye çıkarır [SEP] ne oldu bize ...? inek şaban mesela… neydi acaba mezhebi? alevi miydi belgin doruk sünni miydi ayhan ışık? kürt kökenli miydi yoksa çerkez miydi sadri alışık? şakayla karışık sormuyorum bunları… kaçımız...
yıllardır kendilerini kürt diye pazarlayıp vaad edilmiş topraklar için taşeronluk yapan ermeni komitacılar ilk defa gerçek kürtlerle karşılaştılar. bu onurlu mücadeleyi anneler kazanacak. yanındayız #annelerledireniyoruz,1,etnik,ne oldu bize ...? inek şaban mesela… neydi acaba mezhebi? alevi miydi belgin doruk sünni miydi ayhan ışık? kürt kökenli miydi yoksa çerkez miydi sadri alışık? şakayla karışık sormuyorum bunları… kaçımız... [SEP] yıllardır kendilerini kürt diye pazarlayıp vaad edilmiş topraklar için taşeronluk yapan ermeni komitacılar ilk defa gerçek kürtlerle karşılaştılar. bu onurlu mücadeleyi anneler kazanacak. yanındayız #annelerledireniyoruz
"""uzay"" yolu! türk ırkçıları uzaya gidemezler demeyin. uzayda bir kürt var ise giderler!",2,,"yıllardır kendilerini kürt diye pazarlayıp vaad edilmiş topraklar için taşeronluk yapan ermeni komitacılar ilk defa gerçek kürtlerle karşılaştılar. bu onurlu mücadeleyi anneler kazanacak. yanındayız #annelerledireniyoruz [SEP] ""uzay"" yolu! türk ırkçıları uzaya gidemezler demeyin. uzayda bir kürt var ise giderler!"
her gün kürt halkını ve hdp'yi provoke etmeye çalıştıkları yeni bir hamle yapıyorlar. kriminalize edip partiyi kapatmak için fırsat yaratmaya çalışıyor gibiler.,2,,"""uzay"" yolu! türk ırkçıları uzaya gidemezler demeyin. uzayda bir kürt var ise giderler! [SEP] her gün kürt halkını ve hdp'yi provoke etmeye çalıştıkları yeni bir hamle yapıyorlar. kriminalize edip partiyi kapatmak için fırsat yaratmaya çalışıyor gibiler."
deliriyorum kürt erkeklerine. beni sınırsız ezip küfrederek siken kürtlere köpek olmak isterdim.,2,,her gün kürt halkını ve hdp'yi provoke etmeye çalıştıkları yeni bir hamle yapıyorlar. kriminalize edip partiyi kapatmak için fırsat yaratmaya çalışıyor gibiler. [SEP] deliriyorum kürt erkeklerine. beni sınırsız ezip küfrederek siken kürtlere köpek olmak isterdim.
kürtleri ezenlerin ve ölüler üzerine sevinen vampirlerin mekanı asla cennet olmaz! kürt halkının davası haklı ve meşru bir dava olduğu için kürtler cennetliktir. ayrıca kuyumcudan hediye altında altın çalanlarda cennet yüzü görmeyecektir!,2,,deliriyorum kürt erkeklerine. beni sınırsız ezip küfrederek siken kürtlere köpek olmak isterdim. [SEP] kürtleri ezenlerin ve ölüler üzerine sevinen vampirlerin mekanı asla cennet olmaz! kürt halkının davası haklı ve meşru bir dava olduğu için kürtler cennetliktir. ayrıca kuyumcudan hediye altında altın çalanlarda cennet yüzü görmeyecektir!
ne zaman ki bu ülkede bir insan kürt olduğunu laz olduğunu söylediği kadar rahat söyler o zaman huzura ereriz...,2,,kürtleri ezenlerin ve ölüler üzerine sevinen vampirlerin mekanı asla cennet olmaz! kürt halkının davası haklı ve meşru bir dava olduğu için kürtler cennetliktir. ayrıca kuyumcudan hediye altında altın çalanlarda cennet yüzü görmeyecektir! [SEP] ne zaman ki bu ülkede bir insan kürt olduğunu laz olduğunu söylediği kadar rahat söyler o zaman huzura ereriz...
toplumsal barış bu kadar basit. bir sünni belediye başkanı cemevine muharrem ayı nedeniyle gidiyor. koruma yok. doğal bir şekilde konuşma yapıyor. alevi sünni kürt türk böyle böyle kardeş olur. türkiye'nin gerçek meseleleri için el ele veririz elbet.,2,,ne zaman ki bu ülkede bir insan kürt olduğunu laz olduğunu söylediği kadar rahat söyler o zaman huzura ereriz... [SEP] toplumsal barış bu kadar basit. bir sünni belediye başkanı cemevine muharrem ayı nedeniyle gidiyor. koruma yok. doğal bir şekilde konuşma yapıyor. alevi sünni kürt türk böyle böyle kardeş olur. türkiye'nin gerçek meseleleri için el ele veririz elbet.
kürtler başlarız sizin kürdistan hayallerinize diyerek pkk savaş açtı sözde kürtlerin haklarını savunan siyasetçi (!) işadamı (!) sanatçı (!) ses yok çünkü #kürt sorunu bu şerefsizlerin işine geliyor #annelerledireniyoruz #topunuzgelinfetöcüler #elmalı #betizmmm,0,,toplumsal barış bu kadar basit. bir sünni belediye başkanı cemevine muharrem ayı nedeniyle gidiyor. koruma yok. doğal bir şekilde konuşma yapıyor. alevi sünni kürt türk böyle böyle kardeş olur. türkiye'nin gerçek meseleleri için el ele veririz elbet. [SEP] kürtler başlarız sizin kürdistan hayallerinize diyerek pkk savaş açtı sözde kürtlerin haklarını savunan siyasetçi (!) işadamı (!) sanatçı (!) ses yok çünkü #kürt sorunu bu şerefsizlerin işine geliyor #annelerledireniyoruz #topunuzgelinfetöcüler #elmalı #betizmmm
emeğinize sağlık. işte bu vatan hepimizin. tüm renklerle türk kürt laz çerkez arap sünni alevisiyle müslümanlar kardeştir. tüm renklerle müslüman müslümanın kardeşidir. ırkçılık şeytandandır. ırkçılık yaptıkça kafirler güçleniyor. ırkçılık müslüman kafası değil.,1,dini,kürtler başlarız sizin kürdistan hayallerinize diyerek pkk savaş açtı sözde kürtlerin haklarını savunan siyasetçi (!) işadamı (!) sanatçı (!) ses yok çünkü #kürt sorunu bu şerefsizlerin işine geliyor #annelerledireniyoruz #topunuzgelinfetöcüler #elmalı #betizmmm [SEP] emeğinize sağlık. işte bu vatan hepimizin. tüm renklerle türk kürt laz çerkez arap sünni alevisiyle müslümanlar kardeştir. tüm renklerle müslüman müslümanın kardeşidir. ırkçılık şeytandandır. ırkçılık yaptıkça kafirler güçleniyor. ırkçılık müslüman kafası değil.
hdp'yi kapatmak siyasi iktidarın ihtiyaç listesinde belli ki ilk sırada artık. türkiye'de kürt tabanlı sol siyasetin susturulamayacağını ve artık kürt tabanlı solun türkiye solunda 2015'ten beri ortak payda haline gelmeye başladığını anlayamayanlar bu işten yine zarar görecekler,2,,emeğinize sağlık. işte bu vatan hepimizin. tüm renklerle türk kürt laz çerkez arap sünni alevisiyle müslümanlar kardeştir. tüm renklerle müslüman müslümanın kardeşidir. ırkçılık şeytandandır. ırkçılık yaptıkça kafirler güçleniyor. ırkçılık müslüman kafası değil. [SEP] hdp'yi kapatmak siyasi iktidarın ihtiyaç listesinde belli ki ilk sırada artık. türkiye'de kürt tabanlı sol siyasetin susturulamayacağını ve artık kürt tabanlı solun türkiye solunda 2015'ten beri ortak payda haline gelmeye başladığını anlayamayanlar bu işten yine zarar görecekler
yanılıyorsun kürt halkı bizzat hdp'yi provoke ediyor ayrıca hdp il ilçe teşkilatlarına yapılan herhangi bir provokasyon kürt halkını provoke etmek değildir.,1,etnik,hdp'yi kapatmak siyasi iktidarın ihtiyaç listesinde belli ki ilk sırada artık. türkiye'de kürt tabanlı sol siyasetin susturulamayacağını ve artık kürt tabanlı solun türkiye solunda 2015'ten beri ortak payda haline gelmeye başladığını anlayamayanlar bu işten yine zarar görecekler [SEP] yanılıyorsun kürt halkı bizzat hdp'yi provoke ediyor ayrıca hdp il ilçe teşkilatlarına yapılan herhangi bir provokasyon kürt halkını provoke etmek değildir.
biz kürdüz diyarbakırlıyız. biz türklerle kardeşiz. bu bir reklam ve şov değil. burada yüreği yanan anneler var. bu annelere kim elinden nasıl geliyorsa destek olmalıdır yalnız bırakılmamalıdır. kimi çayını alıp gelsin kimi selamını getirsin #annelerdireniyor,2,,yanılıyorsun kürt halkı bizzat hdp'yi provoke ediyor ayrıca hdp il ilçe teşkilatlarına yapılan herhangi bir provokasyon kürt halkını provoke etmek değildir. [SEP] biz kürdüz diyarbakırlıyız. biz türklerle kardeşiz. bu bir reklam ve şov değil. burada yüreği yanan anneler var. bu annelere kim elinden nasıl geliyorsa destek olmalıdır yalnız bırakılmamalıdır. kimi çayını alıp gelsin kimi selamını getirsin #annelerdireniyor
canan kaftancıoğlu kararı kürt'ün siyaset yapmasını destekleyenlere verilmiş bir yapamazsınız mesajıdır! tuhafiye özel'de ve neden yalnız bırakılmaması gerektiğini konuştu #canankaftancıoğluyalnızdeğildir,2,,biz kürdüz diyarbakırlıyız. biz türklerle kardeşiz. bu bir reklam ve şov değil. burada yüreği yanan anneler var. bu annelere kim elinden nasıl geliyorsa destek olmalıdır yalnız bırakılmamalıdır. kimi çayını alıp gelsin kimi selamını getirsin #annelerdireniyor [SEP] canan kaftancıoğlu kararı kürt'ün siyaset yapmasını destekleyenlere verilmiş bir yapamazsınız mesajıdır! tuhafiye özel'de ve neden yalnız bırakılmaması gerektiğini konuştu #canankaftancıoğluyalnızdeğildir
modern cemaatlerin ekonomik siyasi gücünü de konuşun. buna kürt ve alevi cemaatleri de dahil. onlara demokrasi diğerlerine zapturapt. insanları ötekileştirmeyin. #türkiyeninnabzı,2,,canan kaftancıoğlu kararı kürt'ün siyaset yapmasını destekleyenlere verilmiş bir yapamazsınız mesajıdır! tuhafiye özel'de ve neden yalnız bırakılmaması gerektiğini konuştu #canankaftancıoğluyalnızdeğildir [SEP] modern cemaatlerin ekonomik siyasi gücünü de konuşun. buna kürt ve alevi cemaatleri de dahil. onlara demokrasi diğerlerine zapturapt. insanları ötekileştirmeyin. #türkiyeninnabzı
en sevdiğim şal markasının sahibi reisçi kürt çıktı... sen sabır ver yarabbim kimlere para kazandırmışız,1,etnik,modern cemaatlerin ekonomik siyasi gücünü de konuşun. buna kürt ve alevi cemaatleri de dahil. onlara demokrasi diğerlerine zapturapt. insanları ötekileştirmeyin. #türkiyeninnabzı [SEP] en sevdiğim şal markasının sahibi reisçi kürt çıktı... sen sabır ver yarabbim kimlere para kazandırmışız
bu idealde tabiki kürt hareketi olacak olmayacak tek şey militarist baskıcı faşizan bakış,2,,en sevdiğim şal markasının sahibi reisçi kürt çıktı... sen sabır ver yarabbim kimlere para kazandırmışız [SEP] bu idealde tabiki kürt hareketi olacak olmayacak tek şey militarist baskıcı faşizan bakış
bu kürtler için de geçerli mi ?,2,,bu idealde tabiki kürt hareketi olacak olmayacak tek şey militarist baskıcı faşizan bakış [SEP] bu kürtler için de geçerli mi ?
soylu'ya soruyorum. akp'ye oy verenler kürt vatandaşı chp'ye oy verenler pkk'lı allah senin cezanı versin.,0,,bu kürtler için de geçerli mi ? [SEP] soylu'ya soruyorum. akp'ye oy verenler kürt vatandaşı chp'ye oy verenler pkk'lı allah senin cezanı versin.
fakir kürt çocukları dağlara ölüme hdp'nin baronlarının çocukları fransa'ya eğitime,1,siyasi,soylu'ya soruyorum. akp'ye oy verenler kürt vatandaşı chp'ye oy verenler pkk'lı allah senin cezanı versin. [SEP] fakir kürt çocukları dağlara ölüme hdp'nin baronlarının çocukları fransa'ya eğitime
bu anaların feryadını duymayan pkk terör örgütüdür diyemeyen pkk destekçisi siyasi partilerle kol kola yürüyenler televizyonlara çıkıp boş boş konuşmasınlar. çok basitsiniz türkiye'de kürt sorunu yoktur. türkiye'de pkk sorunu vardır. pkk bir terör örgütüdür. #şerefsizler,0,,fakir kürt çocukları dağlara ölüme hdp'nin baronlarının çocukları fransa'ya eğitime [SEP] bu anaların feryadını duymayan pkk terör örgütüdür diyemeyen pkk destekçisi siyasi partilerle kol kola yürüyenler televizyonlara çıkıp boş boş konuşmasınlar. çok basitsiniz türkiye'de kürt sorunu yoktur. türkiye'de pkk sorunu vardır. pkk bir terör örgütüdür. #şerefsizler
cüneyt özdemir cevapsız bırakılacak bir kaç soru sordu. neden susuyorsunuz. ya kürtlere olan nefretten ya da hdp'ye olan sevgiden. hakkari'de van'da şırnak'ta diyarbakır'da binlerce çocuk kaçırıldı hepsine sustunuz hdp pkk,1,siyasi,bu anaların feryadını duymayan pkk terör örgütüdür diyemeyen pkk destekçisi siyasi partilerle kol kola yürüyenler televizyonlara çıkıp boş boş konuşmasınlar. çok basitsiniz türkiye'de kürt sorunu yoktur. türkiye'de pkk sorunu vardır. pkk bir terör örgütüdür. #şerefsizler [SEP] cüneyt özdemir cevapsız bırakılacak bir kaç soru sordu. neden susuyorsunuz. ya kürtlere olan nefretten ya da hdp'ye olan sevgiden. hakkari'de van'da şırnak'ta diyarbakır'da binlerce çocuk kaçırıldı hepsine sustunuz hdp pkk
biz anaların isyanına değil anaların devlet tarafından yanlış adrese yönlendirilmesine itiraz ediyoruz. o anaların evlat kaygısının müsebbibi dolmabahçe mutabakatını tanımayanlardır. o analara hesap vermesi gerekenler kürdün iradesine kayyım atayanlardır. vicdansız,2,,cüneyt özdemir cevapsız bırakılacak bir kaç soru sordu. neden susuyorsunuz. ya kürtlere olan nefretten ya da hdp'ye olan sevgiden. hakkari'de van'da şırnak'ta diyarbakır'da binlerce çocuk kaçırıldı hepsine sustunuz hdp pkk [SEP] biz anaların isyanına değil anaların devlet tarafından yanlış adrese yönlendirilmesine itiraz ediyoruz. o anaların evlat kaygısının müsebbibi dolmabahçe mutabakatını tanımayanlardır. o analara hesap vermesi gerekenler kürdün iradesine kayyım atayanlardır. vicdansız
batı haçlı seferleri düzenliyor bizim saflar hala abd kürt haklarını savunuyor iddiasında,2,,biz anaların isyanına değil anaların devlet tarafından yanlış adrese yönlendirilmesine itiraz ediyoruz. o anaların evlat kaygısının müsebbibi dolmabahçe mutabakatını tanımayanlardır. o analara hesap vermesi gerekenler kürdün iradesine kayyım atayanlardır. vicdansız [SEP] batı haçlı seferleri düzenliyor bizim saflar hala abd kürt haklarını savunuyor iddiasında
özerklik ya da federasyon kürt kardeşlerimizin söylemi olamaz lgbti'ye değil annelere destek,1,cinsiyetçi,batı haçlı seferleri düzenliyor bizim saflar hala abd kürt haklarını savunuyor iddiasında [SEP] özerklik ya da federasyon kürt kardeşlerimizin söylemi olamaz lgbti'ye değil annelere destek
pkk ateist bir örgüttür ve kürt halkının dostu değildir lgbti'ye değil annelere destek,1,"dini,cinsiyetçi",özerklik ya da federasyon kürt kardeşlerimizin söylemi olamaz lgbti'ye değil annelere destek [SEP] pkk ateist bir örgüttür ve kürt halkının dostu değildir lgbti'ye değil annelere destek
batı derin devletleri kürt halkının dostu değildir lgbti'ye değil annelere destek,1,cinsiyetçi,pkk ateist bir örgüttür ve kürt halkının dostu değildir lgbti'ye değil annelere destek [SEP] batı derin devletleri kürt halkının dostu değildir lgbti'ye değil annelere destek
kürt kardeşlerimiz nur pkk pislik kahbe kalleştir lgbti'ye değil annelere destek,1,cinsiyetçi,batı derin devletleri kürt halkının dostu değildir lgbti'ye değil annelere destek [SEP] kürt kardeşlerimiz nur pkk pislik kahbe kalleştir lgbti'ye değil annelere destek
bizim itirazımız devleti yönetenler açılım yapınca demokrasi geliyor diyenlerin muhalefet kürt sorunu vardır diyince hain ilan edilmesine. bizim itirazımız dünün akil adamlarının bugün chp terörist demesine,2,,kürt kardeşlerimiz nur pkk pislik kahbe kalleştir lgbti'ye değil annelere destek [SEP] bizim itirazımız devleti yönetenler açılım yapınca demokrasi geliyor diyenlerin muhalefet kürt sorunu vardır diyince hain ilan edilmesine. bizim itirazımız dünün akil adamlarının bugün chp terörist demesine
"çocuklarının dağa kaçırıldığını iddia eden diyarbakır annelerinin hdp il binası önünde başlattığı oturma eylem devam ediyor. ""bunlar kürt değil bunlar gavur"" #cumartesi #hdp #diyarbakır #annelerdireniyor #annelerindirenisi #annelerleberaberizyasen #hdpkapatılsın",1,dini,"bizim itirazımız devleti yönetenler açılım yapınca demokrasi geliyor diyenlerin muhalefet kürt sorunu vardır diyince hain ilan edilmesine. bizim itirazımız dünün akil adamlarının bugün chp terörist demesine [SEP] çocuklarının dağa kaçırıldığını iddia eden diyarbakır annelerinin hdp il binası önünde başlattığı oturma eylem devam ediyor. ""bunlar kürt değil bunlar gavur"" #cumartesi #hdp #diyarbakır #annelerdireniyor #annelerindirenisi #annelerleberaberizyasen #hdpkapatılsın"
#davamızınpeşindeyiz #sanatçılardiyarbakıra bir kürt olarak çocuğu kürt anaları hacire ana gibi eyleme davet ediyorum.,2,,"çocuklarının dağa kaçırıldığını iddia eden diyarbakır annelerinin hdp il binası önünde başlattığı oturma eylem devam ediyor. ""bunlar kürt değil bunlar gavur"" #cumartesi #hdp #diyarbakır #annelerdireniyor #annelerindirenisi #annelerleberaberizyasen #hdpkapatılsın [SEP] #davamızınpeşindeyiz #sanatçılardiyarbakıra bir kürt olarak çocuğu kürt anaları hacire ana gibi eyleme davet ediyorum."
#davamızınpeşindeyiz #sanatçılardiyarbakıra 81 ilde bütün pkk hdp il başkanlık binalarının önünde kürt analar eylem yapmalıdır. pkk hdp 81 ilde kepenk indirmek zorunda kalmalıdır.,1,siyasi,#davamızınpeşindeyiz #sanatçılardiyarbakıra bir kürt olarak çocuğu kürt anaları hacire ana gibi eyleme davet ediyorum. [SEP] #davamızınpeşindeyiz #sanatçılardiyarbakıra 81 ilde bütün pkk hdp il başkanlık binalarının önünde kürt analar eylem yapmalıdır. pkk hdp 81 ilde kepenk indirmek zorunda kalmalıdır.
