tweet,class,CLEAN_TEXT
"@mariaisab3lla at that point, just call me nigger.",1,point call nigger
@marissaaxoo @kakestevens @mandaclementine someone needs to give these bitches a gatoraide or ten,1,someone needs give bitches gatoraide ten
"@marissarose_10 
Your mouth
Your pussy
Your ass
My dick
And a sandwich after we fuck.
What kinda question is that?",1,mouth pussy ass dick sandwich fuck kinda question
@mark_mac18 @sheppast @rianscalia groves is trash IMO,2,groves trash imo
"@markoketchuck the black girl is lighter than every other bitch on here! y'all needa stop playin, fuckin up darkskin girls' body image",1,black girl lighter every bitch yall needa stop playin fuckin darkskin girls body image
@marshabitch don't start lil bitch,1,dont start lil bitch
@marylene58 @sunflower1790 @shelliecorreia @Jan4USA no just a niggress that thinks she's human.,0,niggress thinks shes human
"@matt_chu22 @RyanRiehle I'll do that, if you agree to take your Ethiopian starvin looking nigger ass back to Africa. #BuyFoodLittleGuy",0,ill agree take ethiopian starvin looking nigger ass back africa
@mattrbennett209 try some 2 Chainz. I heard he has some big booty hoes.,1,try chainz heard big booty hoes
"@matty_2_fatty fuck you bitch, where's my sleeve",1,fuck bitch wheres sleeve
@mauriokart wtf is ur tumblr bitch,1,wtf ur tumblr bitch
@max_dashevsky u and taber the shit coon,1,u taber shit coon
"@mayarsharkawi Fake pics http://t.co/jtwUu9CYSr get off my TL, u r dismissed muzzie. @Darknight420 @JewJitsuGrl @Begbie_1 @efilnikcufecin7",2,fake pics get tl u r dismissed muzzie
@maycie32 do you mean you were too distracted by being a bitch ? :)),1,mean distracted bitch
@mayhemmiller faggot,1,faggot
@mayormcginn @usmayors @SenFeinstein White people need those weapons to defend themselves from the subhuman trash your sort unleashes on us.,2,white people need weapons defend subhuman trash sort unleashes us
"@mayormcginn If racial minorities weren't criminally inclined, they wouldn't have so much to worry about. Act your color, race traitor!",0,racial minorities werent criminally inclined wouldnt much worry act color race traitor
"@mbxvss we don't trust these hoes, lol na but it's bigger for us I think bc most guys talk to girls first, if you understand",1,dont trust hoes lol na bigger us think bc guys talk girls first understand
@mcclearyb0y other than those the university and the white black and red ones .. The rest trash anyway. They just making shit up now,1,university white black red ones rest trash anyway making shit
@mchastain81 @TheWorldStories you fucked that bitch!,1,fucked bitch
@mckinley719 @UberFacts Mmm no thanks I've been saving mine up for this point in time....fucking queer....,1,mmm thanks ive saving mine point timefucking queer
@mckinley719 I mean we have other pics of me ..idk why you chose that one *cough* bitch *cough*,1,mean pics idk chose one cough bitch cough
@mckinley719 bitch I will kill yo vibe,1,bitch kill yo vibe
@mckinley719 bitches bow down,1,bitches bow
@mckinley719 fuck bitches get money,1,fuck bitches get money
@mckinley719 oh you spelled give wrong psh thought I'd be a bitch,1,oh spelled give wrong psh thought id bitch
@mdsaab1 lmaoo abo crusty hands,2,lmaoo abo crusty hands
@meaghanyockey @DoltYourselfs @annacoman Thanks for saying hi today bitch!!,1,thanks saying hi today bitch
@megalexatron trash about us and your from another conference- you can say goodbye,2,trash us another conference say goodbye
@megankjanes23 Scrolling through my TL. Ol' sick ass bitch!!!,1,scrolling tl ol sick ass bitch
@megann_17 you should make me brownies!,2,make brownies
"@megynkelly 
I don't understand the need for multiple autopsies. I guess they're going to keep on until they can slant 1 against the officer",2,dont understand need multiple autopsies guess theyre going keep slant officer
@megynkelly next you could ask the grand wizard of the #kkk why so many are intolerant this poor soul's views. #cunt #tcot #frc #p2 #foxnews,1,next could ask grand wizard many intolerant poor souls views
@mel0_yell0w ain't that a bitch.,1,aint bitch
@meowfiesta o #k #bitch,1,
"@mesmart029 Someone recently told me that a local yokel was going to ""use my twitter account to damage me"" so... Yeah.",2,someone recently told local yokel going use twitter account damage yeah
@metroadlib I be THIIIIIIIS close to going real east side Detroit on they monkey ass. But. I don't.,1,thiiiiiiis close going real east side detroit monkey ass dont
@mflagginski I live in the eye of a white trash hurricane. Milwaukie OR. Where people use bikes BC of DUI's not to save the environment.,0,live eye white trash hurricane milwaukie people use bikes bc duis save environment
@mfsasso or jim crow laws segregation lynching laws... anti womans suffrage laws... amazing how everyone doesnt want to bring that up,2,jim crow laws segregation lynching laws anti womans suffrage laws amazing everyone doesnt want bring
@mhs_austin drive you nigger,1,drive nigger
@mia_coop speaking about me all the time tryna make me look bad like you wasn't just eating my pussy .,1,speaking time tryna make look bad like wasnt eating pussy
@michaeldbirch What else do you expect from that nigger lover?,0,else expect nigger lover
@michaelragen @somesuchandco @whatupag you guys are pussies,1,guys pussies
@michaelray_02 @blakeanderson21 thats life hoes gonna be hoes an you could blame Tammy,1,thats life hoes gonna hoes could blame tammy
@michelle_westt birds of a feather..,2,birds feather
@michellemcaffey I'll show you how much of a fag I am &#128527;,1,ill show much fag
"@michigannews13 an coaches dont put them in positions to be successful, the offensive struggles can all be put on gardner, program is trash",2,coaches dont put positions successful offensive struggles put gardner program trash
"@michigannews13 wow. Thats great language coming from a HS coach, you sure are a role model, you're trash, just like your account",2,wow thats great language coming hs coach sure role model youre trash like account
@mickeyhart lookin good mick!,2,lookin good mick
"@midgetmadz shut your dirty dirt trap you limp knees, ashy footed, blue balls, isolated hamster wheel, no nipples bitch",0,shut dirty dirt trap limp knees ashy footed blue balls isolated hamster wheel nipples bitch
@mightyfar they need to stop picking up UFCs trash though and build up there own fighters more.,2,need stop picking ufcs trash though build fighters
"@mike_ray7 congratulations, you are officially fucking retarded.",0,congratulations officially fucking retarded
@mikeceeno they say I got too many bitch ... I swear I ain't got the right ones,1,say got many bitch swear aint got right ones
@mikecheck_123 the favorite drink of white trash everywhere....,0,favorite drink white trash everywhere
"@mikecheck_123 try this one Mikey, none of that hick shit...http://youtu.be/Thls_tMuFkc",1,try one mikey none hick shit
@mikeoe7765 That talentless skag IS a wardrobe malfunction.,1,talentless skag wardrobe malfunction
@mileysbae @rihanna bitch u lying about Justin's account ugly indian,1,bitch u lying justins account ugly indian
@milfmob @yoPapi_chulo fight me you fucking obese niglet,0,fight fucking obese niglet
"@mimi_sanabria I really did, right off my bed. Where you put all these dam yellow starburst!!!! *throws them out the window* &#128553;",2,really right bed put dam yellow starburst throws window
@mimiswagnotes You are an ignorant cunt.,0,ignorant cunt
@mingtong007 you still are a cunt,1,still cunt
@miquelpaniscus @ArcusGreatApes @graspunep The person actually holding the ape is NOT Paris. It's her sister,2,person actually holding ape paris sister
"@miranda_mills okay, let's fight you ginger faggot",0,okay lets fight ginger faggot
@mis_sarahd @basedpapi1017 never said I wanted to fuck a tranny...,1,never said wanted fuck tranny
@mis_sarahd @basedpapi1017 tranny,2,tranny
@mistaturk5 @DaUnfuqwitable1 nigga chill throw me in the jungle watch me come out with a gorilla monkey cheetah coat,1,nigga chill throw jungle watch come gorilla monkey cheetah coat
@mitch_krebs14 @Gnarles_Charles I am that queer gnarles Charles and no it wasn't me,1,queer gnarles charles wasnt
@mitchbattiste sup pussy;),1,sup pussy
@mjdwarner that's a bitch. I have no desire to see that much bullshit hahahaha,1,thats bitch desire see much bullshit hahahaha
@mjs79 @ChingonAbe well he is at Genos. So he is the ultimate faggot,0,well genos ultimate faggot
@mjziccardi that mindless twat is shitting on hiphop hahahaha,1,mindless twat shitting hiphop hahahaha
@mkkberger juss the way she stands screams bitch! Lmao @mlwberger @bigbergerc,1,juss way stands screams bitch lmao
@mlvassallo Oh really? fags are gross You aids infected sick fuckers,0,oh really fags gross aids infected sick fuckers
@mmyar It's dumb cunts like you that make me sad to have served in a war so you wouldn't have to.,1,dumb cunts like make sad served war wouldnt
@mobilesuitwaifu All the helmets in Destiny are trash. I wish I could just rock an invisible bubble instead. Hunters look like Robocop.,2,helmets destiny trash wish could rock invisible bubble instead hunters look like robocop
@mommajjojo @smileitsalexx oh so basically we both will be your bitch all day? Mhmmm of course..............,1,oh basically bitch day mhmmm course
@mommajjojo love you too bitch :*,1,love bitch
@monetkittrell all this spaceship shit is retarded.,1,spaceship shit retarded
"@moneydriven @2ManyLouboutins glad about your uncle, another stupid faggot off the world, hopefully you next.",0,glad uncle another stupid faggot world hopefully next
"@moneydriven I see a picture of you smoking, such a man of god. Disgraceful nig, you sir, are an embarrassment.",0,see picture smoking man god disgraceful nig sir embarrassment
@moneydriven LOL such a nig,1,lol nig
"@moneydriven lol profane words, bwahahahahahah mad gay faggot fuck boi. Get at me bitch ass nigga.",1,lol profane words bwahahahahahah mad gay faggot fuck boi get bitch ass nigga
@moneydriven y u arguing with that ugly bitch on twitter,1,u arguing ugly bitch twitter
"@moneyhabitz17 hell yea,I'm surrounded by hillbillys an real ass rednecks",1,hell yeaim surrounded hillbillys real ass rednecks
@moneypulatief @globalriot Nee dat is na langdurig gepest worden.Zoals ik al zei:in d kiem smoren.Is ook vb voor t kind hoe je moet optreden,2,nee dat na langdurig gepest wordenzoals ik al zeiin kiem smorenis ook vb voor kind hoe je moet optreden
@monicawarren16 #pumprules is on bravo...quality trash,2,bravoquality trash
@monkbent What's with that come-at-me-bro bird? Stressful.,2,whats comeatmebro bird stressful
@moodym0lly back Atcha bitch!,1,back atcha bitch
"@moose_05 ya know gamoot, i considered it, but then I was like wait. I'm no little baby back bitch",1,know gamoot considered like wait im little baby back bitch
@morgan_mccubbin fake bitches.... #nicetry,1,fake bitches
"@morgantayler_ I apologize Morgan, but a bitch was blind for a whole 35 seconds!!!!",1,apologize morgan bitch blind whole seconds
@morganwelborn you're a bitch,1,youre bitch
@moyizzy naw negro,1,naw negro
@mr_republicann chik fil a. hipotle is trash and taco bell will give you the runs,2,chik fil hipotle trash taco bell give runs
@mrfoolycooly @DM___3 faggot alert,1,faggot alert
@mrfoolycooly bitch ass scaring me! Lol you don't keep up with the new ones yet?,1,bitch ass scaring lol dont keep new ones yet
@mrfoolycooly i dont think he did the celestial dragon killed him,2,dont think celestial dragon killed
@mrfoolycooly im still where that giant muk shit eats that candy with ceasar clown,1,im still giant muk shit eats candy ceasar clown
@mrgeology no you ignorant cement headed hillbilly. You said taxing. Cant you fuckin read you fucking knob gobbling douchebag,0,ignorant cement headed hillbilly said taxing cant fuckin read fucking knob gobbling douchebag
@mrrickyguevara lmao why would we respect him then? he's a hoe if that's true,1,lmao would respect hes hoe thats true
@mrspinkyyyy what's the name of that hoe? Lol it sounds good,1,whats name hoe lol sounds good
@msteffens32 @StonerBoii2cold back in high school w/ one. fuck these hoes now nigga lol thats what they for,1,back high school w one fuck hoes nigga lol thats
@mtmcly he will need monkey bars on his tricycle,2,need monkey bars tricycle
"@mukeworld @deIukesionaI he has one called ""pussy pop"" I think it's for cats",1,one called pussy pop think cats
@mulroyms_ fuck dyslexia is an bitch,1,fuck dyslexia bitch
@munafal777 karma is a bitch,1,karma bitch
@munro_molly no one cares bitch,1,one cares bitch
@myfriendbriana Jesus walks bitch,1,jesus walks bitch
@myfriendbriana can I ask my bitch for other bitches,1,ask bitch bitches
@mynamesahmed @tonyr0ckyhorror I rather go choke on your moms bomb pussy,1,rather go choke moms bomb pussy
@mynamesryann @Caroline_Poe called her a cunt too,1,called cunt
@mynamesryann @Caroline_Poe why would i need to call her and bitch/cunt to your face? Im talking to her not you dumbass,1,would need call bitchcunt face im talking dumbass
@mza361 I love you and bitches love me.,1,love bitches love
@mzkimberz I called you hoe lol,1,called hoe lol
"@n0tsteven ily 2, I'm at work bitch do you even have any battle ready blades?",1,ily im work bitch even battle ready blades
"@n0tsteven whatever you wall hackin pussy bich I'll fuk u up like I did ur mum, ur sis, ur step sis, ur mums mum, ur mums aunt 420 bich bich",1,whatever wall hackin pussy bich ill fuk u like ur mum ur sis ur step sis ur mums mum ur mums aunt bich bich
@nCrusade @GodManiac_ come wage with us fag,0,come wage us fag
@nataleovrerytng hoes these days,1,hoes days
@natashaleggero how dare insult that pearl harbor vet. You are a dumb cunt.,1,dare insult pearl harbor vet dumb cunt
@nathanmbennett2 lol she's always scheming dude. Jaime needs to keep his hoe on a leash....or I mean his sister lol.,1,lol shes always scheming dude jaime needs keep hoe leashor mean sister lol
"@nedrock83 don't tell what the fuck to ""stop"" with. 2nd, if you think it's protocol to put 6 shots in someone who's unarmed, you're a retard",1,dont tell fuck stop nd think protocol put shots someone whos unarmed youre retard
@neeishaaa one thing about it baby I will NEVER Call a bitch phone bout a nigga. Ion know what app somebody playing with but it AINT ME,1,one thing baby never call bitch phone bout nigga ion know app somebody playing aint
"@neemjemoeder @SvensTweet @Harry_Dillema @wltrrr steek d morele vinger maar in j neus, zelfde soort types bij NATO stenigt vrouwen by bosjes",2,steek morele vinger maar j neus zelfde soort types bij nato stenigt vrouwen bosjes
@negrorayrice @FuckTheMallcops I'll continue dis later. I'll be back bitch.,1,ill continue dis later ill back bitch
"@neiltyson Neil, have you heard that scientists have discovered that, in fact, bitches do be trippin?",1,neil heard scientists discovered fact bitches trippin
"@nekolin @DestroTheNoble naaaa, just the faggots! So....I guess you wouldn't be around very long....would ya!",1,naaaa faggots soi guess wouldnt around longwould
@nerissaloren not home. Headed to work sorry ho,1,home headed work sorry ho
@nessauzc lmao if the shoes fit? &#128094; lace them bitches up. I'm talking in general &#128514;,1,lmao shoes fit lace bitches im talking general
@nfl am I watching football or pussy soccer? Wtf?,1,watching football pussy soccer wtf
@nhatty_ice49ers thank you jackass zebras,2,thank jackass zebras
@nick_scott25 come watch Godzilla then faggot,1,come watch godzilla faggot
@nick_scott25 sounds about right to many dumb bitches work there welcome to my life,1,sounds right many dumb bitches work welcome life
@nickboydos bunch of pussies.,1,bunch pussies
@nicole_steines whatever you fucking pussy &#128514;,1,whatever fucking pussy
@nicolleashby now I'm chewy high with a hard ass dick. Ooh there goes my pager could it be a trick bitch?,1,im chewy high hard ass dick ooh goes pager could trick bitch
@nicsarantos @Huntermoore she looks like the pussy lips are huge,1,looks like pussy lips huge
@niggie95 aka the lonely bitches,1,aka lonely bitches
@niggieesmalls I got ugly niggah problems. Lol but you got pretty niggah problems. Too bad they the same problem. &#128514;,1,got ugly niggah problems lol got pretty niggah problems bad problem
@nightpurrowler @Oskzilla pussy shit!,1,pussy shit
@nightpurrowler niggah das gay,1,niggah das gay
@nikkiconner13 @bellabelcastro trippy hoes &#127744;&#127744;,1,trippy hoes
@nkyathappala I'm gonna drink monster til I sue we gettin the bitch #GottaGetThe30,1,im gonna drink monster til sue gettin bitch
"@noPOPULARity_ lmaoo one nigga had that 2nd pic as ""Looove that pussy from Popeyes!"" lmaoo that shit killed me",1,lmaoo one nigga nd pic looove pussy popeyes lmaoo shit killed
"@noah_55 also you can only refer to a girl as ""bitch"" if she has sucked your D #BetDat",1,also refer girl bitch sucked
@noma2300 bitch fuck you &amp; your dad.,1,bitch fuck amp dad
"@noobde @RodriguezLiam *draws perfect scorpion*

*writes name all retarded*",1,draws perfect scorpion writes name retarded
"@normingtonTJ @hollywood_ferg7 lmfao sorry bitch, no one likes you wes",1,lmfao sorry bitch one likes wes
@nosfiend215 @faggot696969 niggers,0,niggers
@noturavurage You can roll? And what you got to eat? Barter system my nig!,1,roll got eat barter system nig
@npratc Explains why they're waving trash bags around over their heads.,2,explains theyre waving trash bags around heads
@nsanemujer @surfboard101 fuck you both bitches.,1,fuck bitches
"@nyrkelsmads Im not a bully, you half-retarded talking flotation device! @kimberlymt413 I assure you, Im no bully.",1,im bully halfretarded talking flotation device assure im bully
"@nytimes seems if they dont come up with it, its trash, nobody outside hollywood knows what ppl will pay to see..ha! Guess those in hw dont",2,seems dont come trash nobody outside hollywood knows ppl pay seeha guess hw dont
@oJvrdy i have that bitch bloked lmao,1,bitch bloked lmao
@oVoshubham No the fuck am not bitch how bout u get out there bitch ass Nigga stupid ass,0,fuck bitch bout u get bitch ass nigga stupid ass
@oak_log check yer phone nigger,1,check yer phone nigger
@obamac0re I don't like it peaceful that's boring I like fighting I come from the ghetto do u remember that it's p impossible for me not to,2,dont like peaceful thats boring like fighting come ghetto u remember p impossible
@officiallyshay where you been at nigglet? I ain't seen you in a while.,1,nigglet aint seen
"@ofhdirector Everybody, look at this bird-killing wind mill lover. ;-)",2,everybody look birdkilling wind mill lover
@ohVixen @iBaneXx You gotta respect a bitch before she let's you put your entire arm in her vagina.,1,gotta respect bitch lets put entire arm vagina
@ohVixen I love laying in bed by myself because I have a twin size bed and bitches be takin up 3/4 and I ain't havin that,1,love laying bed twin size bed bitches takin aint havin
@ohVixen bitches be crazy.,1,bitches crazy
@ohso_blessed @Wale lmao! whore my life on a bad day is better than any good day that you've ever had. fuck a day bitch haha,1,lmao whore life bad day better good day youve ever fuck day bitch haha
@ohyeahtrip Congratulations brother! We in that hoe!,1,congratulations brother hoe
@okoruoni You're trash.,1,youre trash
"@oliver_______ if you're making 300 clams for betting 5, i hope you do it for a living",2,youre making clams betting hope living
"@oliviagobert lmao yes I kind of like it it's not that ghetto yet &amp; they are and then he says ""u feel me"" &#128525;&#128525;&#128557;&#128166;",2,lmao yes kind like ghetto yet amp says u feel
@onIinebaby I knew you were a faggot though,0,knew faggot though
@onedirectum fugly white bitch,1,fugly white bitch
@operationSAFE @GaltsGirl lived there and can attest to that. Trust them over any muzzie nation by a million light years,2,lived attest trust muzzie nation million light years
"@orchetect Are we doing Mad Libs now? Cool. Uh... 
Twinkie 35' long, DJ Pon3 cameo, Magic&#8482;, Crystal Tree. #TNGSeason4Finale",2,mad libs cool uh twinkie long dj pon cameo magic crystal tree
@oscarstyless Bye bitch byeeeee!,1,bye bitch byeeeee
@osnapitzthorne @AcaciaBrinley trash?,2,trash
@ovoxokatie hoe stfu,1,hoe stfu
@ozwashere What the fuck is wrong with you. You can't call urself a man if u call a girl a bitch. Ur a fuckin loser bro,1,fuck wrong cant call urself man u call girl bitch ur fuckin loser bro
@ozzie_garza stfu bitch,1,stfu bitch
@p0rnoPuppy He called @waynebrady a nigger,1,called nigger
@p_jones2 this hoe got some issues!,1,hoe got issues
@pablofunes_ Oh totes girl. I'm also blasting Mayday and wearing an oversized hoodie. Get at me queer,1,oh totes girl im also blasting mayday wearing oversized hoodie get queer
@panchoftf I'm trying to catch diabetes so I'm fuckin a white bitch,1,im trying catch diabetes im fuckin white bitch
@panchoftf red and yellow it should be then,2,red yellow
"@paolo Like...Charlie Chan-style? (Never saw that, either.) Hmm...makes me think of the ""Cockneys"" in the Killzone series.",2,likecharlie chanstyle never saw either hmmmakes think cockneys killzone series
@passIt2Liv Hit a bitch it's not like you can see the bruises,0,hit bitch like see bruises
@patarnold95 that hoe over there,1,hoe
@patrickkimmis @White1979 Remember Dad running a rotary hoe over corn after a freeze to knock the dead leaves off after they turn brown,2,remember dad running rotary hoe corn freeze knock dead leaves turn brown
@patrickstpierre You're a fucking faggot.,0,youre fucking faggot
@pauIjac because their parental unit is trash.,2,parental unit trash
"@pcrossvol there's always one...they never realize they are the worst- the unsolicited unaffiliated trash talker""",2,theres always onethey never realize worst unsolicited unaffiliated trash talker
@peighxo @baestation bitch got arms like piccolo,1,bitch got arms like piccolo
"@penisgravy 
Is dem? I wants to has my weenis swingin but da twitter say day shut my colored ass down",1,dem wants weenis swingin twitter say day shut colored ass
@percolate @kcraigwell what's next? fingers in dykes?,1,whats next fingers dykes
"@petehelm yeah, but Sting was already a proven draw. this is apples and oranges. he signs people with the sole purpose of burying them.",2,yeah sting already proven draw apples oranges signs people sole purpose burying
@peteyhoti @aubreykelson 'ell naw dogs run this bitch,1,ell naw dogs run bitch
@peteyhoti that funky monkey,2,funky monkey
"@phalaenadispar 
How day feel bout colored folk?",2,day feel bout colored folk
"@pharary04 stop being a bitch and speaking on my name little girl , thank you.",1,stop bitch speaking name little girl thank
@pharary04 you don't know me but I got a whole video of you sucking the life out of my pussy &#128527;&#128564;bye stranger &#128536;,1,dont know got whole video sucking life pussy bye stranger
@phishlicia I got weed. Come over faggot,1,got weed come faggot
@phishlicia I'm 5'8 fag &#128536;&#128536;,0,im fag
@phreshagu_25 yeah you right and you know them Mexicans bringing all they family that hoe finna be packed,0,yeah right know mexicans bringing family hoe finna packed
@piersmorgan @JeremyClarkson You two need to stop acting like two little bitches.,1,two need stop acting like two little bitches
@piersmorgan his hillbilly ass would shoot ya piers put ya right next to the buck hangin on his redneck ass wall,1,hillbilly ass would shoot piers put right next buck hangin redneck ass wall
@piersmorgan house keeps passing CR's senate says no because harry ried is obamas bitch.. not his states who does the senators represent?,1,house keeps passing crs senate says harry ried obamas bitch states senators represent
"@piersmorgan shut up with your arsenal already, you bitch!",1,shut arsenal already bitch
@pistol_pete96 @ZP3_ @max_byers12094 LJ hoes!!,1,lj hoes
"@pistol_pete96 @ZP3_ fuck y'all if you doubt me, I'm a piece of white trash I say it proudly",1,fuck yall doubt im piece white trash say proudly
"@pistol_pete96 that's a good choice, except all the whale bitches you'd fuck would get pregnant",1,thats good choice except whale bitches youd fuck would get pregnant
"@ploppy74 
And you a funny ofay! My mammy woulda been happy I made friends wit da folk dat brought us to da new world in chains",1,funny ofay mammy woulda happy made friends wit folk dat brought us new world chains
@poak_ But then you have no idea what people's actually personalities are like maybe Pamaj has always been a cunt hahaha,1,idea peoples actually personalities like maybe pamaj always cunt hahaha
@poak_ he was no more a cunt with a shitty attitude than Apex or Pamaj or Banks.,1,cunt shitty attitude apex pamaj banks
"@politicsofamy Whoa easy Amy, don't slag the Canucks too much with such a generalization",2,whoa easy amy dont slag canucks much generalization
@politicsofamy puss or pussy?,1,puss pussy
"@politsoutherner @leahmeyer49 
If you don't vote you don't have a right to complain. That being said, I didn't vote for the son of a bitch&#128515;",1,dont vote dont right complain said didnt vote son bitch
"@politsoutherner @leahmeyer49 
Yeah, I'd want to shoot the son of a bitch myself. LOL",1,yeah id want shoot son bitch lol
@poloswagmaster if you go could you hook up the plant city faggots or,0,go could hook plant city faggots
@polotags20 pussy,1,pussy
@pombuenaa I'm surprised you could read it with slits for eyes,0,im surprised could read slits eyes
@pontotoc2 Aren't they the best? There story is here: http://t.co/Hs3nIFMueK. Now it's time to visit our yellow friends at @21cCincinnati!,2,arent best story time visit yellow friends
"@popularcritic1 @discordianslip @fredrogers75 And you thought a camera would steal your soul. Shut the fuck up, you stupid twat.",1,thought camera would steal soul shut fuck stupid twat
@porcelina33 i was raised the person that uses a gun and cant take an ass whipping is a pussy,1,raised person uses gun cant take ass whipping pussy
@pot_headed yeah I tend you grab ass &#128075;and smack bitches in the morning . I don't think you can hang lol&#128514;&#128076;,1,yeah tend grab ass smack bitches morning dont think hang lol
@potpwincess @longbongchris she's a dyke,1,shes dyke
@potpwincess bitch was at a gas station puffin. I swear that's so trashy... Her nigga should put her in check..,1,bitch gas station puffin swear thats trashy nigga put check
"@pragathiguru , i'm viswa moulie. I wanna be ur friend.. Please, shall i ?",2,im viswa moulie wanna ur friend please shall
@prettygrl_rocky ugly dyke,0,ugly dyke
@prettykells bitch yu nt gone mention me back,1,bitch yu nt gone mention back
@prettymofocka I'm outside where you at?!?! And I'm the pussy,1,im outside im pussy
@pricelessxxx u good man long time my niggah,1,u good man long time niggah
@prihncess bitch,1,bitch
@prihncess fuck you bitch,1,fuck bitch
@prime13_time @Vbomb20 hey I guess yall forgot im in this bitch too lol,1,hey guess yall forgot im bitch lol
@prime3_time whoooo?? Lemme find out a bitch run u haha,1,whoooo lemme find bitch run u haha
@princessfaggit I don't see tears bitch,1,dont see tears bitch
@princessfaggit cry bitch,1,cry bitch
@princesshil21 if you hate men so much why you trying to look like one? Stupid little cunt,1,hate men much trying look like one stupid little cunt
"@princessmorggan yeah it was such a lie, thats why you deleted it nigger.",1,yeah lie thats deleted nigger
@protegykid I would reply with the red emoji but I'm not a nigger,1,would reply red emoji im nigger
@prtini Yes. And the @Yankees. And stalking weird people. SO MANY THINGS. #pr20chat,2,yes stalking weird people many things
"@pubsubs @Adessences @tzanchan86 btw, genocide isn't war. The people of Gaza are no more combatants than the people of the Warsaw ghetto.",2,btw genocide isnt war people gaza combatants people warsaw ghetto
@puckluckbitch @RelaxVibes like I got time to be wasting on some bitch who broke up with me,1,like got time wasting bitch broke
@pufntrees the bitch ass nigga I just called a bitch,1,bitch ass nigga called bitch
@pussyjuices drink pussy juice nigga,1,drink pussy juice nigga
@pyroballyPOOPS 6-1 bitch dont hate,1,bitch dont hate
@quezada_carlos7. Right these hoes on my dick about u dats how,1,right hoes dick u dats
@quilzel That's how rednecks eRecycle. http://t.co/6LRXIqSi8B,1,thats rednecks erecycle
"@raajanS holy fuck, frozen pussy! you are crazy!",1,holy fuck frozen pussy crazy
@rachaelkbrown @BillyButlerKC @Oreo unexplainable!,2,unexplainable
@rachel_gautreau @babyydrey hey Rachel G my name isint Kenneth ok let's just get that straight &#128070; you best be backing off before I go ghetto,2,hey rachel g name isint kenneth ok lets get straight best backing go ghetto
@rachh_burkhart grow a pair pussy,1,grow pair pussy
@rachh_burkhart talkin bout the retard your sittin on,1,talkin bout retard sittin
@radar_online old cunt needs to die,1,old cunt needs die
@radar_online to HELL with the plasticassed bitch!!,1,hell plasticassed bitch
@raider_level them hoes ain't thick at all u clowning,1,hoes aint thick u clowning
@ramaxe1965 dubya hates todays teabagger movement.,2,dubya hates todays teabagger movement
"@ramonastewart OK Now you're talking my language, none of this pussy-whipped RINO whining",1,ok youre talking language none pussywhipped rino whining
@rasheedibrahim_ once it gets cold yall gonna be trash again lol,2,gets cold yall gonna trash lol
@rashidgill5 I'll see you guys later. I gotta go bake my blood crackers. @RazaHussain101,2,ill see guys later gotta go bake blood crackers
@ratchetandsassy @ me hoe,1,hoe
@ratedtfxrtaylor text me queer bait,1,text queer bait
@ravenalegria13 @prattprattpratt I was impressed that anybody could chug a Smirnoff Ice that quickly.,2,impressed anybody could chug smirnoff ice quickly
@ravingrave @TheKevShow504 @eeegggiiiaaaP that's Kevin with the hoes &#128514;&#128514;,1,thats kevin hoes
@rbigwood @GameOfArmsAMC of course! Win or lose you always had the most exciting matches. Spilt blood and all and you aren't a trash talker!,2,course win lose always exciting matches spilt blood arent trash talker
@rbigwood when Hollywood Underwood took his shirt off and started screaming in the dark hah like a horror movie with the nips!,2,hollywood underwood took shirt started screaming dark hah like horror movie nips
@rbomem you a broke bitch too.,1,broke bitch
@real5Hfacts stfu u ugly dyke,0,stfu u ugly dyke
@realDonaldTrump call him a pussy as he should!,1,call pussy
"@realDonaldTrump he looks like reg. Memphis,tn. trash! we got them everywhere.",0,looks like reg memphistn trash got everywhere
@realbigasian wtf mine was just a fried Twinkie w powdered sugar I got hoed,1,wtf mine fried twinkie w powdered sugar got hoed
"@realffriends bitch I might be
**~aesthetic~** http://t.co/cYOpCv8oq8",1,bitch might aesthetic
"@realmarkhenning lol, We gotta let these hoes know. *pow pow* this aint what they want. &gt;&gt;",1,lol gotta let hoes know pow pow aint want gtgt
"@realmarycarey @dolvett he's a better trainer, Jillian really acts like a bitch sometimes!",1,hes better trainer jillian really acts like bitch sometimes
@rebellious_midy lls omg omg me too getting harrassed by my bby father smh on ig tlk bout hw mch he miss me bitch please,1,lls omg omg getting harrassed bby father smh ig tlk bout hw mch miss bitch please
@red_daddy17 @lilJohn_Fnv9 and dis wus after i offered to help faggot ass nigga get custody of his kids.... Im lowkey heated..,1,dis wus offered help faggot ass nigga get custody kids im lowkey heated
@red_daddy17 @lilJohn_Fnv9 man fck dat tranny.... Juwanna man ass nigga....,1,man fck dat tranny juwanna man ass nigga
@red_is_raw lol yeah birds be chirping outside. Bastards.,1,lol yeah birds chirping outside bastards
"@reddroostermann &lt;- I poked this little pussy with a stick, and he curled up into a little ball like a pill bug. @fredseviltwin",1,lt poked little pussy stick curled little ball like pill bug
@rednexican69 sounds like a bad bitch.,1,sounds like bad bitch
@redron100 but when its the same method other colonial states employed france england... They dont get to bitch when its their playbook,1,method colonial states employed france england dont get bitch playbook
@regankelly91 go the gulls. First grade should be a cracker. Physical!,2,go gulls first grade cracker physical
@reganpate @I8dis dumb hoe,1,dumb hoe
@rellyOnSMASH @LiveAndUncut my bitch do all that and still go out,1,bitch still go
